source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
0,ex0,original,True,False,ok,"(30, 17)","(15, 17)","(15, 17)",0,bounded_rectangles_max7
0,ex0,task366_color_bijection,True,False,ok,"(30, 17)","(15, 17)","(15, 17)",0,bounded_rectangles_max7
0,ex0,task366_swap_panels,True,False,ok,"(30, 17)","(15, 17)","(15, 17)",0,bounded_rectangles_max7
0,ex0,task366_transpose,True,False,ok,"(17, 30)","(17, 15)","(17, 15)",0,bounded_rectangles_max7
0,ex0,task366_mirror_each_panel_lr,True,False,ok,"(30, 17)","(15, 17)","(15, 17)",0,bounded_rectangles_max7
0,ex0,task366_shift_panels_down_right,True,False,ok,"(30, 17)","(15, 17)","(15, 17)",0,bounded_rectangles_max7
0,ex0,task366_shift_panels_up_left,True,False,ok,"(30, 17)","(15, 17)","(15, 17)",0,bounded_rectangles_max7
1,ex1,original,True,False,ok,"(11, 20)","(11, 10)","(11, 10)",0,bounded_rectangles_max7
1,ex1,task366_color_bijection,True,False,ok,"(11, 20)","(11, 10)","(11, 10)",0,bounded_rectangles_max7
1,ex1,task366_swap_panels,True,False,ok,"(11, 20)","(11, 10)","(11, 10)",0,bounded_rectangles_max7
1,ex1,task366_transpose,True,False,ok,"(20, 11)","(10, 11)","(10, 11)",0,bounded_rectangles_max7
1,ex1,task366_mirror_each_panel_lr,True,False,ok,"(11, 20)","(11, 10)","(11, 10)",0,bounded_rectangles_max7
1,ex1,task366_shift_panels_down_right,False,True,panel_a_would_clip,"(11, 20)","(11, 10)",,,
1,ex1,task366_shift_panels_up_left,False,True,output_would_clip,"(11, 20)","(11, 10)",,,
2,ex2,original,True,False,ok,"(10, 16)","(10, 8)","(10, 8)",0,bounded_rectangles_max7
2,ex2,task366_color_bijection,True,False,ok,"(10, 16)","(10, 8)","(10, 8)",0,bounded_rectangles_max7
2,ex2,task366_swap_panels,True,False,ok,"(10, 16)","(10, 8)","(10, 8)",0,bounded_rectangles_max7
2,ex2,task366_transpose,True,False,ok,"(16, 10)","(8, 10)","(8, 10)",0,bounded_rectangles_max7
2,ex2,task366_mirror_each_panel_lr,True,False,ok,"(10, 16)","(10, 8)","(10, 8)",0,bounded_rectangles_max7
2,ex2,task366_shift_panels_down_right,False,True,output_would_clip,"(10, 16)","(10, 8)",,,
2,ex2,task366_shift_panels_up_left,False,True,output_would_clip,"(10, 16)","(10, 8)",,,
3,ex3,original,True,False,ok,"(24, 12)","(12, 12)","(12, 12)",0,bounded_rectangles_max7
3,ex3,task366_color_bijection,True,False,ok,"(24, 12)","(12, 12)","(12, 12)",0,bounded_rectangles_max7
3,ex3,task366_swap_panels,True,False,ok,"(24, 12)","(12, 12)","(12, 12)",0,bounded_rectangles_max7
3,ex3,task366_transpose,True,False,ok,"(12, 24)","(12, 12)","(12, 12)",0,bounded_rectangles_max7
3,ex3,task366_mirror_each_panel_lr,True,False,ok,"(24, 12)","(12, 12)","(12, 12)",0,bounded_rectangles_max7
3,ex3,task366_shift_panels_down_right,True,False,ok,"(24, 12)","(12, 12)","(12, 12)",0,bounded_rectangles_max7
3,ex3,task366_shift_panels_up_left,True,False,ok,"(24, 12)","(12, 12)","(12, 12)",0,bounded_rectangles_max7
4,ex4,original,True,False,ok,"(14, 24)","(14, 12)","(14, 12)",0,bounded_rectangles_max7
4,ex4,task366_color_bijection,True,False,ok,"(14, 24)","(14, 12)","(14, 12)",0,bounded_rectangles_max7
4,ex4,task366_swap_panels,True,False,ok,"(14, 24)","(14, 12)","(14, 12)",0,bounded_rectangles_max7
4,ex4,task366_transpose,True,False,ok,"(24, 14)","(12, 14)","(12, 14)",0,bounded_rectangles_max7
4,ex4,task366_mirror_each_panel_lr,True,False,ok,"(14, 24)","(14, 12)","(14, 12)",0,bounded_rectangles_max7
4,ex4,task366_shift_panels_down_right,True,False,ok,"(14, 24)","(14, 12)","(14, 12)",0,bounded_rectangles_max7
4,ex4,task366_shift_panels_up_left,False,True,panel_a_would_clip,"(14, 24)","(14, 12)",,,
5,ex5,original,True,False,ok,"(20, 10)","(10, 10)","(10, 10)",0,bounded_rectangles_max7
5,ex5,task366_color_bijection,True,False,ok,"(20, 10)","(10, 10)","(10, 10)",0,bounded_rectangles_max7
5,ex5,task366_swap_panels,True,False,ok,"(20, 10)","(10, 10)","(10, 10)",0,bounded_rectangles_max7
5,ex5,task366_transpose,True,False,ok,"(10, 20)","(10, 10)","(10, 10)",0,bounded_rectangles_max7
5,ex5,task366_mirror_each_panel_lr,True,False,ok,"(20, 10)","(10, 10)","(10, 10)",0,bounded_rectangles_max7
5,ex5,task366_shift_panels_down_right,True,False,ok,"(20, 10)","(10, 10)","(10, 10)",0,bounded_rectangles_max7
5,ex5,task366_shift_panels_up_left,False,True,panel_a_would_clip,"(20, 10)","(10, 10)",,,
6,ex6,original,True,False,ok,"(20, 11)","(10, 11)","(10, 11)",0,bounded_rectangles_max7
6,ex6,task366_color_bijection,True,False,ok,"(20, 11)","(10, 11)","(10, 11)",0,bounded_rectangles_max7
6,ex6,task366_swap_panels,True,False,ok,"(20, 11)","(10, 11)","(10, 11)",0,bounded_rectangles_max7
6,ex6,task366_transpose,True,False,ok,"(11, 20)","(11, 10)","(11, 10)",0,bounded_rectangles_max7
6,ex6,task366_mirror_each_panel_lr,True,False,ok,"(20, 11)","(10, 11)","(10, 11)",0,bounded_rectangles_max7
6,ex6,task366_shift_panels_down_right,False,True,panel_b_would_clip,"(20, 11)","(10, 11)",,,
6,ex6,task366_shift_panels_up_left,False,True,panel_b_would_clip,"(20, 11)","(10, 11)",,,
7,ex7,original,True,False,ok,"(24, 11)","(12, 11)","(12, 11)",0,bounded_rectangles_max7
7,ex7,task366_color_bijection,True,False,ok,"(24, 11)","(12, 11)","(12, 11)",0,bounded_rectangles_max7
